brand,model_year,mileage,fuel_type,transmission,engine_size,horsepower,body_type,color,num_cylinders,fuel_efficiency,mileage_category,owner_count,is_accident_free,has_service_history,age_years,price,price_per_hp,price_per_cc
Ford,2018,196749,LPG,Automatic,4.2,446,Pickup,Brown,4,18.3,Medium,3,0,0,6,35686.15997627968,80.01381160600826,8.496704756257067
Mercedes-Benz,2019,2659,Petrol,Semi-Automatic,2.8,180,Wagon,Blue,12,42.0,Low,1,1,0,5,42321.95168780242,235.12195382112458,15.114982745643722
Mazda,2023,86516,Petrol,CVT,3.9,447,Sedan,Orange,12,35.0,Low,2,0,1,1,22835.593612051813,51.08633917684969,5.855280413346619
Lexus,2018,74567,Petrol,Automatic,3.3,397,Coupe,Blue,6,28.7,Low,3,0,1,6,78286.15333803195,197.1943409018437,23.72307676910059
Kia,2016,15037,Electric,Manual,3.0,447,Coupe,Green,12,18.7,Medium,1,1,0,8,48300.718919238905,108.05529959561277,16.100239639746302
Chevrolet,2013,126498,Electric,CVT,1.8,320,Sedan,Yellow,8,23.4,High,1,0,0,11,27277.246403120225,85.2413950097507,15.154025779511237
Mazda,2014,177810,Diesel,Automatic,2.9,490,Hatchback,Gray,6,48.4,Low,2,0,0,10,7681.546825950751,15.676626175409694,2.648809250327845
Audi,2010,235037,Diesel,Manual,2.0,326,Pickup,Green,6,30.8,High,1,0,0,14,8885.413782337937,27.25587049796913,4.442706891168968
Ford,2023,202750,Petrol,Manual,4.7,242,Convertible,Red,12,26.0,Low,3,1,0,1,26174.76548484252,108.1601879538947,5.569099039328195
Hyundai,2010,12109,LPG,Semi-Automatic,2.3,451,Coupe,White,4,30.9,High,1,1,1,14,14060.382067672985,31.176013453820364,6.113209594640428
BMW,2012,22010,Diesel,CVT,4.8,252,SUV,Green,4,41.2,Medium,2,1,1,12,23843.191581518004,94.61583960919843,4.967331579482917
Ford,2022,8787,Diesel,Manual,3.1,114,Convertible,Red,4,23.6,Low,3,0,0,2,56006.831289738075,491.28799376963224,18.06671977088325
Kia,2023,239472,Electric,Automatic,3.5,363,Coupe,Red,4,17.1,Low,1,1,1,1,59483.878699371024,163.86743443352898,16.995393914106007
Kia,2017,139544,LPG,Manual,3.2,438,Pickup,Gray,6,33.4,Low,1,0,1,7,9318.656419719924,21.27547127789937,2.9120801311624764
Chevrolet,2023,246183,Petrol,Manual,1.5,460,Hatchback,White,6,36.6,Medium,1,0,0,1,14167.221077914694,30.7983066911189,9.44481405194313
